poi,next_attraction,popularity
59,59,0.0008033056611844794
59,71,0.01501173612976306
59,202,0.005640348930902806
59,62,0.004913870513519444
59,52,0.013507766005112392
59,75,0.0018973256129123856
59,63,0.0038017193322544738
59,201,0.000859543203646897
59,61,0.032487782931690745
59,54,0.040118572094992894
59,76,0.0007956229368043678
59,49,0.005665240957894368
59,58,0.017139850783053998
59,42,0.003920033287708194
59,50,4.548172833026127e-05
59,301,0.1
59,302,0.1
59,303,0.1
71,59,0.017009551777567307
71,71,0.0003853654549064029
71,202,0.006965157923009268
71,62,0.0043468854542672
71,52,0.009801005146196098
71,75,0.0017276910585995193
71,63,0.012918040081695017
71,201,0.0007781063252177131
71,61,0.02434194392594591
71,54,0.010221096515300607
71,76,0.0017240033508970655
71,49,0.010433754326142098
71,58,0.0012209385584873514
71,42,0.0024597010375365623
71,50,0.1
71,301,0.1
71,302,0.1
71,303,0.1
202,59,0.004013147907195148
202,71,0.006590855591210225
202,202,0.00011001661312319955
202,62,0.004514368845753635
202,52,0.001951411992548372
202,75,0.0006210714388882299
202,63,0.0016834385661700759
202,201,0.0009680232718940742
202,61,0.007425814076840766
202,54,0.0022999003704302387
202,76,0.00099936878736493
202,49,0.004239020003970432
202,58,0.00040196013956744417
202,42,0.000990764136059205
202,50,4.855481808230595e-05
202,301,0.1
202,302,0.1
202,303,0.1
62,59,0.006021104751181142
62,71,0.0043318273144821815
62,202,0.005630515043696263
62,62,6.115448606568914e-05
62,52,0.0032316611832501857
62,75,0.001129975101826829
62,63,0.0023635133282975634
62,201,0.0020414535222832812
62,61,0.010168853989515846
62,54,0.006590548282235022
62,76,0.0003912043254352878
62,49,0.002625033266196566
62,58,0.0006518023364086767
62,42,0.0012467525124045269
62,50,3.103820649565127e-05
62,301,0.1
62,302,0.1
62,303,0.1
52,59,0.010777633069395899
52,71,0.01761925278437297
52,202,0.004532807384265904
52,62,0.004753762537437916
52,52,0.0002083554851886293
52,75,0.001872740894896028
52,63,0.005205199422013279
52,201,0.0007034302442430273
52,61,0.011628264312761866
52,54,0.014751752736740079
52,76,0.0005328737630045476
52,49,0.0040862874432938115
52,58,0.0009505066603074196
52,42,0.008155058275000968
52,50,0.00013828903884201063
52,301,0.1
52,302,0.1
52,303,0.1
75,59,0.0015067359054275068
75,71,0.001822034913987291
75,202,0.0007206395468544775
75,62,0.0007326245968874518
75,52,0.0014529568347667248
75,75,2.796511674360659e-05
75,63,0.0007372342315155188
75,201,0.0001604152850567323
75,61,0.0018008305946981826
75,54,0.0012833222804538584
75,76,0.00017516611586654678
75,49,0.0008970348986218422
75,58,0.00016195182993275465
75,42,0.0008616943664733283
75,50,1.7516611586654678e-05
75,301,0.1
75,302,0.1
75,303,0.1
63,59,0.005124991779484913
63,71,0.009238015103621513
63,202,0.001954177773325212
63,62,0.0027442691485758995
63,52,0.004618853897323154
63,75,0.0007569020059286048
63,63,9.096345666052254e-05
63,201,0.0002344767480810091
63,61,0.0053905067340615734
63,54,0.004634219346083377
63,76,0.0005224252578475957
63,49,0.003479966835215396
63,58,0.0004978405398312382
63,42,0.0012421428777764597
63,50,6.82225924953919e-05
63,301,0.1
63,302,0.1
63,303,0.1
201,59,0.000812217621465409
201,71,0.0008822840678120277
201,202,0.0010377824092654886
201,62,0.0012295432097930766
201,52,0.0004489784127737278
201,75,0.00021696013649435443
201,63,0.0002065116313374025
201,201,5.838870528884893e-06
201,61,0.001128745865926011
201,54,0.0005427076502110905
201,76,0.0001220016631561738
201,49,0.00033803987272491484
201,58,8.297342330520636e-05
201,42,0.0002191112993207857
201,50,1.6594684661041275e-05
201,301,0.1
201,302,0.1
201,303,0.1
61,59,0.06558157916248471
61,71,0.016562417218644803
61,202,0.009840033386047066
61,62,0.011095697858732522
61,52,0.010804061641263482
61,75,0.0020672674762004565
61,63,0.0031271761316806665
61,201,0.0011348920454301004
61,61,0.000884435230638459
61,54,0.03053944402889442
61,76,0.0009707890526709145
61,49,0.008851420412814292
61,58,0.005438139625218266
61,42,0.003951686112154254
61,50,0.00013245016831312572
61,301,0.1
61,302,0.1
61,303,0.1
54,59,0.011816644714562204
54,71,0.009220191183059653
54,202,0.0031628239728043847
54,62,0.003707375476866702
54,52,0.05046412874525131
54,75,0.0013082143074454203
54,63,0.003215988425514758
54,201,0.00046280731665792886
54,61,0.010766877255263742
54,54,0.0003518687766091159
54,76,0.00040995017292276033
54,49,0.0032479485589360225
54,58,0.0012163289238592845
54,42,0.007710074878904898
54,50,6.422757581773382e-05
54,301,0.1
54,302,0.1
54,303,0.1
76,59,0.0019975083388290424
76,71,0.007797657936838172
76,202,0.001394568129477876
76,62,0.0010811129747693186
76,52,0.0009031810781259315
76,75,0.0001951411992548372
76,63,0.0006680897120945135
76,201,0.00016471761070959486
76,61,0.003921877141559421
76,54,0.0009926079899104318
76,76,5.777408733843999e-05
76,49,0.0018865697987802293
76,58,0.0002566029942957308
