id_veronacard,itinerary,reward,best_reward,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,preference_matches,time_process
525738,"[58, 301, 76, 201, 62, 54, 52]",45.35980297268536,56.44822854881006,343.0,55,82,0.0,8,0,7,43.0,7216.958242
526760,"[300, 302, 201, 58, 76]",45.14055357300219,54.89357003277057,348.0,50,82,0.0,8,0,5,35.0,6260.64127
529503,"[301, 59, 202, 71, 76, 49, 61]",62.92122542370959,71.35646720280064,430.0,50,57,3.0,9,3,7,56.0,7516.258553
532301,"[302, 300, 61, 202, 76]",40.961891051275295,47.239148182036274,305.0,55,108,12.0,8,1,5,45.0,5838.712932
532998,"[301, 59, 201, 202, 71]",56.55631626827933,65.48362591317863,380.0,60,40,0.0,8,2,5,37.0,6915.818252
540661,"[301, 300, 71, 202, 76]",54.11819509729379,63.875369358207216,378.0,60,42,0.0,8,1,5,43.0,6860.810411
542232,"[300, 302, 201, 76, 52, 54]",46.42491963495054,52.62864446433491,325.0,75,67,13.0,8,0,6,44.0,6673.441372
546302,"[301, 201, 202, 71, 76]",59.0586919465589,65.56404131184188,383.0,55,42,0.0,8,1,5,35.0,6797.965163
552946,"[302, 42, 301, 300, 52]",50.07158307666315,54.35384166836536,344.0,75,61,0.0,8,0,5,29.0,7184.860514
